cells,architecture,elapsed_seconds,cells_per_second,history_events,dirty_requeues,workers,collections,namespaces,namespace_cap,temporal_events_per_cell,temporal_history_bytes,history_events_description,checksum,heap_alloc_start_bytes,heap_alloc_end_bytes,heap_alloc_peak_bytes,heap_alloc_peak_mib,heap_objects_start,heap_objects_end,heap_objects_peak,total_alloc_delta_bytes,sys_peak_bytes,modeled_app_heap_bytes,modeled_app_heap_mib,modeled_durable_orchestration_bytes,modeled_durable_orchestration_mib,modeled_durable_queue_bytes,modeled_durable_queue_mib,modeled_total_bytes,modeled_total_mib,modeled_orchestration_cpu_units,modeled_db_cpu_units,modeled_worker_cpu_units,modeled_serialization_cpu_units,modeled_total_cpu_units
100000,temporal_selector_simulation,0.393130,254368.999326,200000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,13060812836874100751,235056,16246312,16246312,15.494,271,295,295,16011368,29509896,16000000,15.259,102400000,97.656,0,0.000,118400000,112.915,115609600,0,0,3200000,118809600
100000,autofill_pool_simulation,0.082630,1210206.884867,10000,0,200,16,4,0,2,64,bounded setup history window,4149826207063933675,244008,2037520,2037520,1.943,289,1250,1250,1793512,31607048,13942784,13.297,5120000,4.883,28800000,27.466,47862784,45.646,640000,12000000,51800000,1600000,66040000
200000,temporal_selector_simulation,0.690561,289619.756412,400000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,6425139678144909516,414376,32423624,32423624,30.922,834,850,850,32009608,60967176,32000000,30.518,204800000,195.312,0,0.000,236800000,225.830,231219200,0,0,6400000,237619200
200000,autofill_pool_simulation,0.147657,1354491.235924,10000,0,200,16,4,0,2,64,bounded setup history window,7167100724744505924,417096,3737696,3737696,3.565,839,1568,1568,3320600,60967176,13942784,13.297,5120000,4.883,57600000,54.932,76662784,73.111,640000,24000000,103600000,3200000,131440000
500000,temporal_selector_simulation,1.725622,289750.573290,1000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,17385474221315462103,516728,80531064,80531064,76.800,1154,1168,1168,80014696,128145688,80000000,76.294,512000000,488.281,0,0.000,592000000,564.575,578048000,0,0,16000000,594048000
500000,autofill_pool_simulation,0.357616,1398149.364202,10000,0,200,16,4,0,2,64,bounded setup history window,4876320179391657003,519416,8582424,8582424,8.185,1157,1831,1831,8065704,128145688,13942784,13.297,5120000,4.883,144000000,137.329,163062784,155.509,640000,60000000,259000000,8000000,327640000
750000,temporal_selector_simulation,2.563062,292618.717204,1500000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,10679441336094316959,565944,120573624,120573624,114.988,1423,1437,1437,120008040,224753976,120000000,114.441,768000000,732.422,0,0.000,888000000,846.863,867072000,0,0,24000000,891072000
750000,autofill_pool_simulation,0.615828,1217873.017252,10000,0,200,16,4,0,2,64,bounded setup history window,18286044344563722939,568632,12669032,12669032,12.082,1426,2188,2188,12103096,225016120,13942784,13.297,5120000,4.883,216000000,205.994,235062784,224.173,640000,90000000,388500000,12000000,491140000
1000000,temporal_selector_simulation,3.410824,293184.297005,2000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,8907440659193320219,649992,160659208,160659208,153.217,1779,1793,1793,160009576,225278264,160000000,152.588,1024000000,976.562,0,0.000,1184000000,1129.150,1156096000,0,0,32000000,1188096000
1000000,autofill_pool_simulation,1.413100,707664.043198,10000,0,200,16,4,0,2,64,bounded setup history window,7669065222647419126,652680,16768456,16768456,15.992,1782,2607,2607,16118472,225278264,13942784,13.297,5120000,4.883,288000000,274.658,307062784,292.838,640000,120000000,518000000,16000000,654640000
2000000,temporal_selector_simulation,7.313370,273471.735846,4000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,18404459055421738695,729960,160739176,160739176,153.293,2007,2021,2021,160009576,225278264,320000000,305.176,2048000000,1953.125,0,0.000,2368000000,2258.301,2312192000,0,0,64000000,2376192000
2000000,autofill_pool_simulation,1.551499,1289075.538949,10000,0,200,16,4,0,2,64,bounded setup history window,12866916811308178251,732648,32777704,32777704,31.259,2010,2707,2707,32047752,225278264,13942784,13.297,5120000,4.883,576000000,549.316,595062784,567.496,640000,240000000,1036000000,32000000,1308640000
3000000,temporal_selector_simulation,10.418247,287956.313572,6000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,12270930099657799310,752520,160761736,160761736,153.314,2235,2249,2249,160009576,225278264,480000000,457.764,3072000000,2929.688,0,0.000,3552000000,3387.451,3468288000,0,0,96000000,3564288000
3000000,autofill_pool_simulation,2.122479,1413441.629661,10000,0,200,16,4,0,2,64,bounded setup history window,16813267578065925779,755456,48804392,48804392,46.543,2241,2872,2872,48051880,225278264,13942784,13.297,5120000,4.883,864000000,823.975,883062784,842.154,640000,360000000,1554000000,48000000,1962640000
5000000,temporal_selector_simulation,18.054107,276945.294317,10000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,11363651307358879058,780216,160789432,160789432,153.341,2399,2413,2413,160009576,355440984,800000000,762.939,5120000000,4882.812,0,0.000,5920000000,5645.752,5780480000,0,0,160000000,5940480000
5000000,autofill_pool_simulation,3.667998,1363141.310863,10000,0,200,16,4,0,2,64,bounded setup history window,6867149129987583779,783152,80810456,80810456,77.067,2405,2923,2923,80030248,355440984,13942784,13.297,5120000,4.883,1440000000,1373.291,1459062784,1391.471,640000,600000000,2590000000,80000000,3270640000
7500000,temporal_selector_simulation,31.428203,238639.157653,15000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,5137755730266885744,763768,160773000,160773000,153.325,2195,2209,2209,160009608,355440984,1200000000,1144.409,7680000000,7324.219,0,0.000,8880000000,8468.628,8670720000,0,0,240000000,8910720000
7500000,autofill_pool_simulation,15.764719,475745.861477,10000,0,200,16,4,0,2,64,bounded setup history window,2888781222088805056,766472,120816440,120816440,115.220,2198,2928,2928,120052664,355440984,13942784,13.297,5120000,4.883,2160000000,2059.937,2179062784,2078.116,640000,900000000,3885000000,120000000,4905640000
10000000,temporal_selector_simulation,40.068154,249574.762042,20000000,0,1,16,4,0,2,64,2 modeled retained per-cell activity history events,1221149318155544838,755928,160765424,160765424,153.318,2072,2090,2090,160009608,355440984,1600000000,1525.879,10240000000,9765.625,0,0.000,11840000000,11291.504,11560960000,0,0,320000000,11880960000
10000000,autofill_pool_simulation,7.392474,1352727.111384,10000,0,200,16,4,0,2,64,bounded setup history window,15001915188205689441,758632,160839560,160839560,153.389,2075,2955,2955,160083624,355440984,13942784,13.297,5120000,4.883,2880000000,2746.582,2899062784,2764.762,640000,1200000000,5180000000,160000000,6540640000
